Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,GR_clipped,GR_median_7,GR_median_9,GR_median_11,GR_median_15
2,A1 SH,SHRIMPLIN,2803,56.61,0.369,5.5,14.8,3,1,0.532,56.61,63.54,63.54,63.67,66.2
2,A1 SH,SHRIMPLIN,2803.5,55.97,0.352,6.1,14.46,3,1,0.511,55.97,61.27,63.54,63.67,66.2
2,A1 SH,SHRIMPLIN,2804,63.67,0.344,6,14.745,3,1,0.489,63.67,61.27,63.67,63.67,66.2
2,A1 SH,SHRIMPLIN,2804.5,66.2,0.342,6.8,15.135,3,1,0.468,66.2,63.67,63.67,63.87,66.2
2,A1 SH,SHRIMPLIN,2805,61.27,0.346,6.1,15.48,3,1,0.447,61.27,66.2,66.2,66.2,66.2
3,A1 SH,SHRIMPLIN,2805.5,69.48,0.354,5.8,14.675,3,1,0.404,69.48,69.48,69.48,69.48,66.2
3,A1 SH,SHRIMPLIN,2806,76.37,0.354,5.2,13.635,3,1,0.383,76.37,76.37,76.37,70.98,66.2
2,A1 SH,SHRIMPLIN,2806.5,82.2,0.348,7.4,15.055,3,1,0.362,82.2,82.2,76.37,70.98,66.2
2,A1 SH,SHRIMPLIN,2807,90.25,0.346,11.5,20.23,3.1,1,0.34,90.25,82.2,76.37,70.98,66.2
2,A1 SH,SHRIMPLIN,2807.5,94.38,0.358,14.2,24.015,3,1,0.319,94.38,82.2,76.37,70.98,69.48
2,A1 SH,SHRIMPLIN,2808,87.44,0.377,13.9,23.58,3.1,1,0.298,87.44,82.2,76.37,70.98,70.98
2,A1 SH,SHRIMPLIN,2808.5,70.98,0.401,11.5,18.395,3.1,1,0.277,70.98,70.98,70.98,72.79,72.79
2,A1 SH,SHRIMPLIN,2809,64.72,0.439,10.3,13.815,3.1,1,0.255,64.72,64.72,70.98,72.79,76.37
3,A1 SH,SHRIMPLIN,2809.5,54.29,0.47,9.9,9.44,3.2,1,0.234,54.29,64.72,70.98,72.79,76.37
3,A1 SH,SHRIMPLIN,2810,41.46,0.493,11.1,5.255,3.4,1,0.213,41.46,64.72,70.98,72.79,73.68
3,A1 SH,SHRIMPLIN,2810.5,50.93,0.524,12.1,5.265,4.6,1,0.17,50.93,64.72,70.98,70.98,72.79
3,A1 SH,SHRIMPLIN,2811,72.79,0.543,11.3,11.76,4.1,1,0.149,72.79,72.79,66.69,70.98,71.05
3,A1 SH,SHRIMPLIN,2811.5,95.34,0.555,14.1,17.665,3.5,1,0.128,95.34,72.79,72.79,71.05,70.98
3,A1 SH,SHRIMPLIN,2812,102.35,0.558,15.8,20.145,3.2,1,0.106,102.35,73.68,72.79,71.05,66.69
3,A1 SH,SHRIMPLIN,2812.5,79.7,0.549,15.5,18.07,3.2,1,0.085,79.7,73.68,72.79,71.05,64.72
3,A1 SH,SHRIMPLIN,2813,66.69,0.53,14,15.72,3.3,1,0.064,66.69,73.68,72.79,71.05,60.3
2,A1 SH,SHRIMPLIN,2813.5,73.68,0.521,14.7,15.98,3.3,1,0.043,73.68,71.05,71.05,71.05,66.69
2,A1 SH,SHRIMPLIN,2814,71.05,0.535,17.2,18.02,3.3,1,0.021,71.05,66.69,66.69,66.69,71.05
8,A1 LM,SHRIMPLIN,2814.5,57.02,0.628,11.6,12.09,3.5,2,1,57.02,57.02,60.3,66.69,72.79
8,A1 LM,SHRIMPLIN,2815,43.29,0.702,7.3,6.705,4,2,0.981,43.29,57.02,60.3,66.69,73.68
8,A1 LM,SHRIMPLIN,2815.5,36.06,0.762,5.7,4.595,5,2,0.963,36.06,57.02,60.3,66.69,73.68
8,A1 LM,SHRIMPLIN,2816,46,0.823,5.1,4.62,5.5,2,0.944,46,57.02,60.3,71.05,71.05
6,A1 LM,SHRIMPLIN,2816.5,60.3,0.915,4.6,5.01,5.6,2,0.926,60.3,60.3,60.3,71.05,66.69
6,A1 LM,SHRIMPLIN,2817,75.22,0.999,4.4,5.295,5.5,2,0.907,75.22,75.22,75.22,60.3,60.3
6,A1 LM,SHRIMPLIN,2817.5,87.19,1.045,4.7,5.32,5.4,2,0.889,87.19,75.47,75.22,60.3,59.36
6,A1 LM,SHRIMPLIN,2818,86.86,1.064,5.2,5.785,5.4,2,0.87,86.86,75.47,75.22,60.3,57.02
6,A1 LM,SHRIMPLIN,2818.5,88,1.051,6.5,6.38,5.4,2,0.852,88,75.47,75.22,60.3,59.36
6,A1 LM,SHRIMPLIN,2819,75.47,1.018,7.8,7.215,5.5,2,0.833,75.47,75.47,75.22,60.3,59.36
6,A1 LM,SHRIMPLIN,2819.5,59.36,0.972,10,8.925,4.9,2,0.796,59.36,59.36,59.36,61.24,59.36
6,A1 LM,SHRIMPLIN,2820,55.57,0.952,8.6,9.355,4.5,2,0.778,55.57,55.57,59.36,59.36,59.36
6,A1 LM,SHRIMPLIN,2820.5,46.96,0.924,5.4,9.12,4.3,2,0.759,46.96,55.57,55.57,55.57,55.57
6,A1 LM,SHRIMPLIN,2821,43.67,0.876,3.6,8.225,4.1,2,0.741,43.67,55.23,55.23,55.23,55.57
6,A1 LM,SHRIMPLIN,2821.5,55.23,0.826,5.1,7.875,4.3,2,0.722,55.23,54.46,54.46,54.46,55.57
6,A1 LM,SHRIMPLIN,2822,61.24,0.777,9.7,8.575,4.3,2,0.704,61.24,46.96,47.48,54.46,55.57
6,A1 LM,SHRIMPLIN,2822.5,54.46,0.728,12.8,10.66,4.4,2,0.685,54.46,47.48,47.48,54.46,55.57
7,A1 LM,SHRIMPLIN,2823,43.23,0.699,14.9,12.375,4,2,0.667,43.23,54.46,54.46,54.46,55.23
7,A1 LM,SHRIMPLIN,2823.5,44.59,0.682,16,13.54,3.9,2,0.648,44.59,54.46,55.23,55.23,55.23
4,A1 LM,SHRIMPLIN,2824,47.48,0.676,16.5,12.89,3.7,2,0.63,47.48,54.46,55.77,55.23,55.23
4,A1 LM,SHRIMPLIN,2824.5,61.1,0.671,15.2,11.785,3.7,2,0.611,61.1,55.77,55.06,55.77,55.77
4,A1 LM,SHRIMPLIN,2825,64.82,0.68,9.1,8.97,4.5,2,0.574,64.82,55.77,55.77,55.77,61.1
4,A1 LM,SHRIMPLIN,2825.5,55.77,0.71,6.1,8.93,5.1,2,0.556,55.77,61.1,61.1,61.1,61.24
4,A1 LM,SHRIMPLIN,2826,62.22,0.744,4.3,9.215,5.5,2,0.537,62.22,62.22,62.22,62.22,62.22
6,A1 LM,SHRIMPLIN,2826.5,55.06,0.786,2.9,9.5,5.6,2,0.519,55.06,64.82,64.82,64.82,62.22
6,A1 LM,SHRIMPLIN,2827,71.02,0.839,3.1,8.89,5.4,2,0.5,71.02,71.02,71.02,71.02,62.22
6,A1 LM,SHRIMPLIN,2827.5,91.37,0.881,3.9,8.06,5.3,2,0.481,91.37,91.37,91.37,71.02,62.22
6,A1 LM,SHRIMPLIN,2828,115.42,0.911,5.2,6.875,5.3,2,0.463,115.42,93.82,91.37,71.02,62.22
6,A1 LM,SHRIMPLIN,2828.5,115.7,0.94,5.9,6.085,5.2,2,0.444,115.7,93.82,91.37,71.02,62.22
6,A1 LM,SHRIMPLIN,2829,107.11,0.972,6,6.135,5.6,2,0.426,107.11,93.82,91.37,71.02,61.63
6,A1 LM,SHRIMPLIN,2829.5,93.82,1.008,5.8,6.64,5.6,2,0.407,93.82,93.82,91.37,71.02,61.63
6,A1 LM,SHRIMPLIN,2830,61.63,1.061,3.6,6.865,6.1,2,0.37,61.63,61.63,61.63,61.63,55.06
6,A1 LM,SHRIMPLIN,2830.5,45.98,1.076,3.6,6.25,6.2,2,0.352,45.98,45.98,45.98,45.98,45.98
6,A1 LM,SHRIMPLIN,2831,32.76,1.071,3,6.225,5.8,2,0.333,32.76,40.73,40.73,40.73,45.98
6,A1 LM,SHRIMPLIN,2831.5,37.82,1.058,3.6,6.19,5.7,2,0.315,37.82,37.82,37.82,40.73,45.98
6,A1 LM,SHRIMPLIN,2832,40.73,1.038,2.3,6.375,5.5,2,0.296,40.73,33.82,37.82,40.73,45.98
6,A1 LM,SHRIMPLIN,2832.5,33.42,1.005,2.2,6.61,5.4,2,0.278,33.42,33.82,37.82,40.73,45.98
6,A1 LM,SHRIMPLIN,2833,32.08,0.968,2.2,7.355,5.3,2,0.259,32.08,37.82,37.82,40.73,45.98
6,A1 LM,SHRIMPLIN,2833.5,33.82,0.943,2.1,8.33,4.9,2,0.241,33.82,40.73,40.73,40.73,45.98
6,A1 LM,SHRIMPLIN,2834,45.57,0.924,1.1,8.84,4.7,2,0.222,45.57,45.57,45.57,45.57,45.98
6,A1 LM,SHRIMPLIN,2834.5,53.95,0.9,1.9,8.125,4.6,2,0.204,53.95,53.95,53.95,53.95,53.95
6,A1 LM,SHRIMPLIN,2835,59.42,0.875,4.3,7.845,4.6,2,0.185,59.42,59.42,59.42,59.42,59.42
6,A1 LM,SHRIMPLIN,2835.5,68.43,0.854,8.3,8.665,4.8,2,0.167,68.43,68.43,68.43,65.59,60.79
6,A1 LM,SHRIMPLIN,2836,75.88,0.849,11,10.04,4.6,2,0.148,75.88,72.92,68.43,65.59,64.71
6,A1 LM,SHRIMPLIN,2836.5,77.75,0.864,11.3,10.85,4.7,2,0.13,77.75,72.92,68.43,65.59,65.59
6,A1 LM,SHRIMPLIN,2837,80.93,0.907,9.6,9.815,4.6,2,0.111,80.93,72.92,68.43,68.43,68.43
6,A1 LM,SHRIMPLIN,2837.5,72.92,0.932,7.3,7.475,4.7,2,0.093,72.92,72.92,72.92,72.92,72.92
6,A1 LM,SHRIMPLIN,2838,65.59,0.92,5.7,5.265,5,2,0.074,65.59,72.92,75.88,75.88,75.88
6,A1 LM,SHRIMPLIN,2838.5,64.71,0.886,3.6,4.045,5.4,2,0.056,64.71,72.92,77.75,77.75,77.75
6,A1 LM,SHRIMPLIN,2839,60.79,0.829,2.9,4.36,5.5,2,0.037,60.79,72.92,78.55,78.55,77.75
6,A1 LM,SHRIMPLIN,2839.5,78.55,0.754,2,9.795,5.7,2,0.019,78.55,78.55,78.55,80.93,77.75
3,B1 SH,SHRIMPLIN,2840,107.77,0.713,1.8,19.545,4,1,1,107.77,87.85,80.96,78.55,77.75
3,B1 SH,SHRIMPLIN,2840.5,110.87,0.686,6,26.65,3.3,1,0.974,110.87,87.85,80.96,78.55,72.92
3,B1 SH,SHRIMPLIN,2841,106.33,0.665,8.6,26.94,2.8,1,0.949,106.33,87.85,80.96,78.55,67.92
3,B1 SH,SHRIMPLIN,2841.5,87.85,0.64,9.6,21.77,2.7,1,0.923,87.85,87.85,80.96,78.55,67.77
3,B1 SH,SHRIMPLIN,2842,80.96,0.601,9,15.99,2.9,1,0.897,80.96,80.96,80.96,78.55,67.77
2,B1 SH,SHRIMPLIN,2842.5,66.94,0.568,11.2,12.565,3.5,1,0.872,66.94,66.94,67.92,67.92,67.92
2,B1 SH,SHRIMPLIN,2843,61.48,0.561,12,11.69,4.2,1,0.846,61.48,66.94,67.77,67.77,68.85
2,B1 SH,SHRIMPLIN,2843.5,58.26,0.568,12.4,12.285,4.2,1,0.821,58.26,66.94,67.73,67.77,68.85
2,B1 SH,SHRIMPLIN,2844,51.31,0.585,12.7,11.735,3.9,1,0.795,51.31,66.94,67.73,67.77,68.85
2,B1 SH,SHRIMPLIN,2844.5,67.92,0.583,13.2,11.73,3.9,1,0.769,67.92,67.73,67.73,67.77,68.85
2,B1 SH,SHRIMPLIN,2845,67.77,0.566,14.1,12.475,3.9,1,0.744,67.77,67.77,67.77,67.77,68.85
2,B1 SH,SHRIMPLIN,2845.5,67.73,0.543,14.4,13.095,3.8,1,0.718,67.73,67.92,67.92,67.92,68.85
2,B1 SH,SHRIMPLIN,2846,68.85,0.516,12.1,13.35,3.7,1,0.692,68.85,68.85,68.85,68.85,68.85
2,B1 SH,SHRIMPLIN,2846.5,73.2,0.496,9.7,15.12,3.6,1,0.667,73.2,73.2,73.2,73.2,73.2
3,B1 SH,SHRIMPLIN,2847,84.46,0.486,6.1,20.48,3.6,1,0.641,84.46,84.46,84.46,84.46,84.46
3,B1 SH,SHRIMPLIN,2847.5,96.96,0.483,7,23.225,3.4,1,0.615,96.96,88.54,88.54,88.54,84.46
3,B1 SH,SHRIMPLIN,2848,95.54,0.486,9.4,21.305,3.5,1,0.59,95.54,88.67,88.67,88.67,85
3,B1 SH,SHRIMPLIN,2848.5,88.67,0.493,13.2,17.235,3.4,1,0.564,88.67,89.67,89.67,88.67,85
3,B1 SH,SHRIMPLIN,2849,88.54,0.501,13.1,16.71,3.5,1,0.538,88.54,91.17,89.67,88.67,85
3,B1 SH,SHRIMPLIN,2849.5,92.22,0.501,11.2,18.675,3.5,1,0.513,92.22,89.67,89.67,88.67,85
2,B1 SH,SHRIMPLIN,2850,89.67,0.491,4.9,20.405,3.3,1,0.487,89.67,88.67,88.67,88.67,85
2,B1 SH,SHRIMPLIN,2850.5,91.17,0.47,2.2,20.3,3.1,1,0.462,91.17,88.54,88.54,88.54,85
2,B1 SH,SHRIMPLIN,2851,83.62,0.435,5.1,17.16,2.8,1,0.436,83.62,85,85,85,85
2,B1 SH,SHRIMPLIN,2851.5,85,0.401,8.3,15.87,2.8,1,0.41,85,83.62,83.62,83.62,83.62
2,B1 SH,SHRIMPLIN,2852,77.7,0.371,7.5,16.85,2.9,1,0.385,77.7,77.7,77.7,77.7,83.62
2,B1 SH,SHRIMPLIN,2852.5,74.29,0.334,6.1,17.3,2.9,1,0.359,74.29,76.38,76.38,77.7,83.62
2,B1 SH,SHRIMPLIN,2853,70.21,0.307,5.4,17.57,2.9,1,0.333,70.21,76.28,76.38,77.7,83.62
2,B1 SH,SHRIMPLIN,2853.5,76.38,0.297,4.7,17.195,3,1,0.308,76.38,76.28,76.38,77.7,80.61
2,B1 SH,SHRIMPLIN,2854,76.28,0.301,4.4,16.415,3,1,0.282,76.28,76.28,76.38,77.7,79.36
2,B1 SH,SHRIMPLIN,2854.5,69.04,0.314,4.1,14.19,3.2,1,0.256,69.04,76.38,76.38,77.7,79.36
2,B1 SH,SHRIMPLIN,2855,78.11,0.338,5.8,13.25,3.4,1,0.231,78.11,78.11,78.11,78.11,79.36
3,B1 SH,SHRIMPLIN,2855.5,84.18,0.377,6.8,15.72,3.8,1,0.205,84.18,80.61,79.36,79.36,79.36
3,B1 SH,SHRIMPLIN,2856,85.85,0.428,6.6,20.045,3.5,1,0.179,85.85,80.61,80.61,80.61,79.36
3,B1 SH,SHRIMPLIN,2856.5,89.6,0.47,4.4,20.455,3.3,1,0.154,89.6,83.05,83.05,83.05,79.36
3,B1 SH,SHRIMPLIN,2857,80.61,0.509,3.6,16.78,3.1,1,0.128,80.61,84.18,84.18,83.05,79.36
3,B1 SH,SHRIMPLIN,2857.5,79.36,0.539,7.5,11.78,3.3,1,0.103,79.36,85.04,84.18,83.05,79.36
3,B1 SH,SHRIMPLIN,2858,83.05,0.548,8.1,14.545,3.7,1,0.077,83.05,83.05,83.05,83.05,79.36
3,B1 SH,SHRIMPLIN,2858.5,95,0.556,9.2,23.83,3.6,1,0.051,95,80.61,80.61,80.61,79.36
5,B1 LM,SHRIMPLIN,2859,85.04,0.629,6.4,26.67,3.1,2,1,85.04,79.36,79.36,79.36,79.36
5,B1 LM,SHRIMPLIN,2859.5,46.18,0.668,4.3,16.61,3.1,2,0.944,46.18,46.18,46.18,46.18,46.18
5,B1 LM,SHRIMPLIN,2860,34.53,0.703,4.9,8.22,3.5,2,0.889,34.53,35.19,35.19,35.19,35.19
5,B1 LM,SHRIMPLIN,2860.5,35.19,0.744,7.9,4.71,4.6,2,0.833,35.19,34.53,34.53,34.53,34.53
8,B1 LM,SHRIMPLIN,2861,27.85,0.803,7.8,4.24,4.8,2,0.778,27.85,27.85,27.85,27.85,29.41
8,B1 LM,SHRIMPLIN,2861.5,23.48,0.913,6,4.22,4.7,2,0.722,23.48,23.48,23.48,23.48,29.41
8,B1 LM,SHRIMPLIN,2862,20.42,1.031,5,3.785,4.6,2,0.667,20.42,21.18,21.18,23.48,29.41
8,B1 LM,SHRIMPLIN,2862.5,20.55,1.147,4.1,3.145,5.1,2,0.611,20.55,20.55,21.18,23.48,29.41
8,B1 LM,SHRIMPLIN,2863,19.99,1.292,4.7,2.195,5.4,2,0.556,19.99,20.55,21.18,23.48,29.41
8,B1 LM,SHRIMPLIN,2863.5,21.18,1.405,5.2,1.59,5.9,2,0.5,21.18,20.55,21.18,23.48,29.41
8,B1 LM,SHRIMPLIN,2864,18.63,1.452,4.7,1.755,6.1,2,0.444,18.63,21.18,21.18,23.48,29.41
6,B1 LM,SHRIMPLIN,2864.5,29.41,1.465,4.2,2.36,6,2,0.389,29.41,29.41,29.41,29.41,29.41
6,B1 LM,SHRIMPLIN,2865,43.09,1.48,3.1,3.11,5.8,2,0.333,43.09,43.09,42.92,42.92,42.92
6,B1 LM,SHRIMPLIN,2865.5,48.95,1.479,4.2,2.95,5.6,2,0.278,48.95,43.09,43.09,43.09,43.09
6,B1 LM,SHRIMPLIN,2866,45.84,1.437,4.1,3.03,5.6,2,0.222,45.84,45.04,45.04,45.04,45.04
6,B1 LM,SHRIMPLIN,2866.5,45.04,1.36,4.2,3.02,5.7,2,0.167,45.04,45.84,45.84,45.84,45.84
6,B1 LM,SHRIMPLIN,2867,42.92,1.249,3.6,3.445,5.7,2,0.111,42.92,48.95,48.95,48.95,48.95
6,B1 LM,SHRIMPLIN,2867.5,53.11,1.104,3.3,4.095,5.9,2,0.056,53.11,53.11,53.11,53.11,53.11
3,B2 SH,SHRIMPLIN,2868,67.55,0.966,4.2,5.13,5.1,1,1,67.55,67.55,67.55,67.55,67.55
3,B2 SH,SHRIMPLIN,2868.5,73.99,0.862,6.1,7.84,4.6,1,0.964,73.99,73.99,73.99,73.99,73.99
3,B2 SH,SHRIMPLIN,2869,83.09,0.806,9.4,11.2,3.9,1,0.929,83.09,79.88,76.38,75.68,75.68
3,B2 SH,SHRIMPLIN,2869.5,97.28,0.763,10.5,13.97,3.6,1,0.893,97.28,79.88,76.38,76.38,76.38
2,B2 SH,SHRIMPLIN,2870,95.16,0.714,9.6,12.96,3.4,1,0.857,95.16,79.88,79.88,79.88,79.88
2,B2 SH,SHRIMPLIN,2870.5,79.88,0.661,8.6,10.425,3.3,1,0.821,79.88,83.09,83.09,83.09,83.09
2,B2 SH,SHRIMPLIN,2871,76.38,0.602,8.9,8.785,3.5,1,0.786,76.38,84.59,84.59,84.59,84.59
2,B2 SH,SHRIMPLIN,2871.5,75.68,0.561,11.4,10.305,3.6,1,0.75,75.68,84.59,95.16,92.94,84.59
2,B2 SH,SHRIMPLIN,2872,84.59,0.537,13.4,13.745,3.9,1,0.714,84.59,84.59,92.94,92.94,84.59
3,B2 SH,SHRIMPLIN,2872.5,103.43,0.525,14.6,16.66,3.9,1,0.679,103.43,92.94,92.9,92.9,84.59
3,B2 SH,SHRIMPLIN,2873,103.41,0.522,14.7,17.625,3.9,1,0.643,103.41,92.94,92.9,84.59,84.59
3,B2 SH,SHRIMPLIN,2873.5,99.27,0.52,13,16.245,3.8,1,0.607,99.27,92.94,92.9,84.59,83.63
3,B2 SH,SHRIMPLIN,2874,92.94,0.516,12.1,14.85,3.7,1,0.571,92.94,92.94,92.9,84.59,80.32
3,B2 SH,SHRIMPLIN,2874.5,92.9,0.507,11.4,13.27,3.8,1,0.536,92.9,92.9,92.9,84.59,80.32
3,B2 SH,SHRIMPLIN,2875,80.32,0.504,11,12.48,3.7,1,0.5,80.32,83.63,83.63,83.63,80.32
2,B2 SH,SHRIMPLIN,2875.5,83.63,0.512,10.1,11.525,4,1,0.464,83.63,80.32,80.32,80.32,80.32
2,B2 SH,SHRIMPLIN,2876,67.81,0.529,9.4,11.31,4.1,1,0.429,67.81,67.88,67.88,67.88,78.8
2,B2 SH,SHRIMPLIN,2876.5,67.88,0.559,9.7,10.865,4.3,1,0.393,67.88,67.81,67.81,67.81,78.8
2,B2 SH,SHRIMPLIN,2877,64.39,0.589,8.4,10.365,4.4,1,0.357,64.39,64.39,64.39,67.81,78.8
2,B2 SH,SHRIMPLIN,2877.5,61.99,0.604,6.9,9.385,4.4,1,0.321,61.99,64.04,64.39,67.81,78.8
2,B2 SH,SHRIMPLIN,2878,62.5,0.604,5.5,8.53,4.3,1,0.286,62.5,64.04,64.39,67.81,70.01
2,B2 SH,SHRIMPLIN,2878.5,58.64,0.58,5.3,8.6,4.2,1,0.25,58.64,64.04,64.39,67.81,67.88
2,B2 SH,SHRIMPLIN,2879,64.04,0.543,5.7,9.98,4,1,0.214,64.04,64.04,64.39,67.88,67.81
2,B2 SH,SHRIMPLIN,2879.5,78.8,0.519,5.4,13.745,3.7,1,0.179,78.8,78.8,70.01,64.39,64.39
3,B2 SH,SHRIMPLIN,2880,78.88,0.502,2,21.885,3.7,1,0.143,78.88,78.8,70.01,64.04,64.04
3,B2 SH,SHRIMPLIN,2880.5,86.88,0.5,-3.8,33.79,3.2,1,0.107,86.88,78.8,70.01,64.04,62.5
3,B2 SH,SHRIMPLIN,2881,83.97,0.519,-2,37.47,3,1,0.071,83.97,78.8,70.01,64.04,61.99
3,B2 SH,SHRIMPLIN,2881.5,70.01,0.543,-4.3,31.57,2.8,1,0.036,70.01,70.01,70.01,64.04,58.64
7,B2 LM,SHRIMPLIN,2882,50.7,0.567,1.6,16.04,2.9,2,1,50.7,50.7,50.7,50.7,50.7
7,B2 LM,SHRIMPLIN,2882.5,30.81,0.601,1.9,5.725,3.6,2,0.938,30.81,30.81,30.81,30.81,30.81
7,B2 LM,SHRIMPLIN,2883,17.35,0.656,4.2,2.73,5,2,0.875,17.35,18.19,18.19,20.38,28.57
8,B2 LM,SHRIMPLIN,2883.5,17.55,0.747,4.7,2.925,5.8,2,0.813,17.55,17.55,18.19,20.38,28.57
8,B2 LM,SHRIMPLIN,2884,18.19,0.855,5.6,3.285,6.2,2,0.75,18.19,17.55,18.19,20.38,28.57
8,B2 LM,SHRIMPLIN,2884.5,17.08,0.982,5.4,3.99,6.3,2,0.688,17.08,17.55,18.19,20.38,28.57
8,B2 LM,SHRIMPLIN,2885,15.88,1.107,5.5,4.34,6.2,2,0.625,15.88,18.19,18.19,20.38,28.57
8,B2 LM,SHRIMPLIN,2885.5,20.38,1.17,5,4.645,5.9,2,0.563,20.38,20.38,20.38,20.38,28.57
8,B2 LM,SHRIMPLIN,2886,24.93,1.173,5.1,4.77,5.8,2,0.5,24.93,24.93,24.93,24.93,28.57
8,B2 LM,SHRIMPLIN,2886.5,28.57,1.15,4.5,4.725,5.8,2,0.438,28.57,28.57,28.57,28.57,28.57
8,B2 LM,SHRIMPLIN,2887,34.54,1.115,5,4.365,5.7,2,0.375,34.54,34.54,34.54,34.54,34.54
8,B2 LM,SHRIMPLIN,2887.5,42.34,1.064,5.3,4.4,5.7,2,0.313,42.34,39.25,38.37,38.37,38.37
8,B2 LM,SHRIMPLIN,2888,44.21,1.008,5.5,4.86,5.5,2,0.25,44.21,39.25,39.25,39.25,39.25
6,B2 LM,SHRIMPLIN,2888.5,44.15,0.943,4.1,5.47,5.6,2,0.188,44.15,42.34,42.34,42.34,42.34
6,B2 LM,SHRIMPLIN,2889,39.25,0.88,3.9,5.905,5.6,2,0.125,39.25,44.15,44.15,44.15,44.15
6,B2 LM,SHRIMPLIN,2889.5,38.37,0.812,5.7,7.13,5.4,2,0.063,38.37,44.21,44.21,44.21,44.21
2,B3 SH,SHRIMPLIN,2890,60.63,0.74,9.1,9.33,4.7,1,1,60.63,60.63,60.63,60.63,60.63
2,B3 SH,SHRIMPLIN,2890.5,83.69,0.684,12.4,11.31,4,1,0.967,83.69,83.69,83.69,83.69,83.11
2,B3 SH,SHRIMPLIN,2891,87.3,0.648,13.7,11.975,3.6,1,0.933,87.3,87.3,87.1,83.81,83.69
2,B3 SH,SHRIMPLIN,2891.5,89.07,0.619,13.7,12.065,3.6,1,0.9,89.07,87.3,87.1,83.81,83.81
2,B3 SH,SHRIMPLIN,2892,91.06,0.584,12.9,12.21,3.7,1,0.867,91.06,87.3,87.1,85.4,83.81
2,B3 SH,SHRIMPLIN,2892.5,98.37,0.559,12,12.485,3.7,1,0.833,98.37,87.3,87.1,86.83,83.81
2,B3 SH,SHRIMPLIN,2893,87.1,0.548,11.3,12.23,3.7,1,0.8,87.1,87.1,87.1,86.83,83.81
2,B3 SH,SHRIMPLIN,2893.5,83.81,0.542,10.9,11.67,3.5,1,0.767,83.81,86.83,86.83,86.83,83.81
2,B3 SH,SHRIMPLIN,2894,83.11,0.535,10.4,11.96,3.4,1,0.733,83.11,85.4,85.4,85.4,83.81
2,B3 SH,SHRIMPLIN,2894.5,85.4,0.529,11.1,13.05,3.3,1,0.7,85.4,83.81,83.81,83.81,83.81
2,B3 SH,SHRIMPLIN,2895,86.83,0.524,11.5,13.735,3.3,1,0.667,86.83,83.11,83.11,83.11,83.81
