Clipping,Median_Filter,Despike
40.0,83.62,85.0
40.0,77.7,77.7
40.0,76.38,74.29
40.0,76.28,70.21
40.0,76.28,76.38
40.0,76.28,76.28
40.0,76.38,69.04
40.0,78.11,78.11
40.0,80.61,84.18
40.0,80.61,85.85
40.0,83.05,89.6
40.0,84.18,80.61
40.0,85.04,79.36
40.0,83.05,83.05
40.0,80.61,95.0
40.0,79.36,85.04
40.0,46.18,46.18
34.53,35.19,34.53
35.19,34.53,35.19
27.85,27.85,27.85
23.48,23.48,23.48
20.42,21.18,20.42
20.55,20.55,20.55
19.99,20.55,19.99
21.18,20.55,21.18
18.63,21.18,18.63
29.41,29.41,29.41
40.0,43.09,43.09
40.0,43.09,48.95
40.0,45.04,45.84
40.0,45.84,45.04
40.0,48.95,42.92
40.0,53.11,53.11
40.0,67.55,67.55
40.0,73.99,73.99
40.0,79.88,83.09
40.0,79.88,97.28
40.0,79.88,95.16
40.0,83.09,79.88
40.0,84.59,76.38
40.0,84.59,75.68
40.0,84.59,84.59
40.0,92.94,103.43
40.0,92.94,103.41
40.0,92.94,99.27
40.0,92.94,92.94
40.0,92.9,92.9
40.0,83.63,80.32
40.0,80.32,83.63
40.0,67.88,67.81
40.0,67.81,67.88
40.0,64.39,64.39
40.0,64.04,61.99
40.0,64.04,62.5
40.0,64.04,58.64
40.0,64.04,64.04
40.0,78.8,78.8
40.0,78.8,78.88
40.0,78.8,86.88
40.0,78.8,83.97
40.0,70.01,70.01
40.0,50.7,50.7
30.81,30.81,30.81
17.35,18.19,17.35
17.55,17.55,17.55
18.19,17.55,18.19
17.08,17.55,17.08
15.88,18.19,15.88
20.38,20.38,20.38
24.93,24.93,24.93
28.57,28.57,28.57
34.54,34.54,34.54
40.0,39.25,42.34
40.0,39.25,44.21
40.0,42.34,44.15
39.25,44.15,39.25
38.37,44.21,38.37
40.0,60.63,60.63
40.0,83.69,83.69
40.0,87.3,87.3
40.0,87.3,89.07
40.0,87.3,91.06
40.0,87.3,98.37
40.0,87.1,87.1
40.0,86.83,83.81
40.0,85.4,83.11
40.0,83.81,85.4
40.0,83.11,86.83
40.0,80.54,80.54
40.0,77.67,77.67
40.0,77.67,74.74
40.0,77.67,75.06
40.0,77.67,76.98
40.0,79.6,79.6
40.0,79.6,92.95
40.0,79.6,94.25
40.0,79.6,83.12
40.0,75.02,75.02
40.0,75.02,62.61
40.0,75.02,68.47
40.0,75.02,69.58
40.0,76.05,76.05
40.0,89.53,89.53
40.0,89.53,97.25
40.0,89.53,95.12
40.0,89.53,91.67
40.0,85.15,85.15
40.0,65.17,65.17
32.9,32.9,32.9
19.92,19.92,19.92
14.52,15.68,14.52
14.75,15.68,14.75
15.01,15.68,15.01
15.68,15.68,15.68
16.96,15.71,16.96
15.78,15.78,15.78
15.71,16.96,15.71
17.29,17.29,17.29
25.4,25.4,25.4
40.0,54.3,54.3
40.0,64.84,77.86
40.0,64.84,81.08
40.0,64.84,64.84
40.0,64.84,68.3
40.0,64.84,62.2
40.0,64.84,62.13
40.0,66.76,59.9
40.0,66.76,66.76
40.0,68.75,68.75
40.0,72.44,89.47
40.0,72.44,92.28
40.0,72.44,89.52
40.0,72.44,72.44
40.0,65.12,65.12
40.0,65.12,61.43
40.0,65.12,64.01
40.0,65.12,60.03
40.0,66.07,66.07
40.0,74.64,74.64
40.0,76.08,76.08
40.0,77.9,77.9
40.0,90.26,90.26
40.0,100.24,100.24
40.0,104.57,104.57
40.0,104.57,117.83
40.0,104.57,119.71
40.0,104.57,114.49
40.0,76.16,76.16
34.5,34.5,34.5
17.99,18.68,17.99
16.23,18.68,16.23
16.97,18.68,16.97
18.68,18.68,18.68
30.74,30.74,30.74
40.0,44.23,46.76
40.0,46.76,49.39
40.0,49.39,44.23
40.0,54.96,54.96
40.0,68.62,68.62
40.0,82.8,84.84
40.0,84.84,82.8
40.0,95.11,95.56
40.0,95.11,106.29
40.0,95.56,95.11
40.0,96.55,96.55
40.0,100.17,92.19
40.0,100.17,100.17
40.0,100.5,101.7
40.0,101.7,100.5
40.0,102.07,102.07
40.0,102.07,109.83
40.0,102.07,118.17
40.0,102.07,119.16
40.0,63.36,63.36
40.0,44.37,44.37
37.71,44.37,37.71
37.36,44.37,37.36
39.66,44.37,39.66
40.0,52.61,52.61
40.0,53.75,53.75
40.0,59.61,59.61
40.0,62.99,62.99
40.0,72.39,72.39
40.0,81.12,81.12
40.0,164.34,234.8
40.0,164.34,234.8
40.0,164.34,273.48
40.0,164.34,164.34
40.0,101.5,101.5
40.0,101.5,84.6
40.0,101.5,84.6
40.0,101.5,91.02
40.0,116.04,116.04
40.0,116.04,129.74
40.0,116.04,130.95
40.0,116.04,127.25
40.0,115.33,115.33
40.0,110.37,110.37
40.0,95.97,95.97
40.0,92.33,92.1
40.0,92.1,92.33
40.0,87.94,84.32
40.0,86.68,85.93
40.0,86.15,86.15
40.0,86.15,87.94
40.0,86.68,86.68
40.0,86.68,85.31
40.0,86.68,86.99
40.0,85.73,88.41
40.0,85.31,85.73
40.0,79.97,79.97
40.0,79.97,72.32
40.0,79.97,69.7
40.0,79.97,78.44
40.0,82.19,82.19
40.0,85.45,85.45
40.0,87.42,92.63
40.0,87.42,88.92
40.0,87.42,90.45
40.0,87.42,87.42
40.0,87.26,84.11
40.0,87.26,87.26
40.0,87.26,84.87
40.0,87.26,84.88
40.0,88.37,88.37
40.0,90.68,90.68
40.0,94.56,94.56
40.0,96.31,96.31
40.0,96.31,99.42
40.0,96.31,97.55
40.0,96.31,98.51
40.0,89.44,86.18
40.0,89.13,89.44
40.0,87.64,89.13
40.0,86.18,87.64
40.0,84.8,84.34
40.0,84.8,83.26
40.0,84.34,84.8
40.0,84.02,84.02
40.0,83.72,90.99
40.0,83.93,83.72
40.0,83.72,81.44
40.0,83.72,80.51
40.0,83.72,83.93
40.0,83.93,83.36
40.0,84.75,86.69
40.0,84.91,86.71
40.0,86.06,84.91
40.0,86.06,84.75
40.0,84.91,87.88
40.0,84.75,86.06
40.0,56.43,56.43
32.69,32.69,32.69
25.06,25.06,25.06
18.26,18.28,18.26
18.28,18.26,18.28
14.41,16.71,14.41
13.99,16.71,13.99
13.28,16.71,13.28
16.71,16.71,16.71
31.35,31.35,31.35
40.0,42.48,49.41
40.0,42.48,65.33
40.0,42.48,64.3
40.0,42.48,42.48
29.96,31.12,29.96
21.23,31.12,21.23
28.09,31.12,28.09
31.12,31.12,31.12
36.63,36.1,36.63
36.1,36.63,36.1
40.0,39.82,42.06
40.0,41.71,44.31
40.0,42.06,43.19
39.82,42.6,39.82
40.0,42.6,41.71
40.0,42.6,43.02
40.0,42.6,42.6
40.0,43.02,41.53
40.0,45.87,46.69
40.0,45.87,49.0
40.0,46.69,51.83
40.0,46.83,45.87
40.0,47.5,45.87
40.0,46.83,46.83
40.0,46.83,47.5
40.0,47.5,48.88
40.0,48.88,45.88
40.0,49.28,51.63
40.0,49.71,49.28
40.0,49.71,52.4
40.0,50.19,50.59
40.0,50.19,49.71
40.0,50.59,46.48
40.0,50.59,50.19
40.0,55.85,55.85
40.0,74.49,74.49
40.0,126.32,126.32
40.0,227.99,274.0
40.0,227.99,358.74
40.0,227.99,361.15
40.0,227.99,227.99
40.0,115.43,115.43
40.0,80.43,80.43
40.0,65.06,65.06
40.0,56.88,49.86
40.0,56.88,51.04
40.0,56.88,52.63
40.0,53.58,56.88
40.0,53.58,60.61
40.0,53.66,57.36
40.0,55.22,53.58
40.0,53.66,52.02
40.0,53.66,53.66
40.0,53.66,55.22
40.0,53.66,50.16
40.0,53.77,55.6
40.0,55.22,53.77
40.0,55.6,50.23
40.0,61.93,63.43
40.0,63.43,61.93
40.0,68.62,68.62
40.0,71.51,74.18
40.0,73.86,73.86
40.0,74.18,71.51
40.0,79.77,79.77
40.0,79.77,80.9
40.0,79.77,96.85
40.0,79.77,92.76
40.0,54.15,51.5
40.0,51.5,47.77
40.0,50.45,54.15
40.0,47.77,50.45
32.78,32.78,32.78
23.5,31.12,23.5
28.33,31.12,28.33
31.12,31.12,31.12
28.68,31.12,28.68
31.67,31.67,31.67
39.75,36.56,39.75
36.56,36.56,36.56
36.56,36.56,36.56
37.21,36.56,37.21
35.8,36.56,35.8
36.56,35.8,36.56
27.96,27.96,27.96
26.3,26.3,26.3
19.97,19.97,19.97
17.92,19.97,17.92
17.92,19.97,17.92
16.51,19.97,16.51
21.94,21.94,21.94
32.54,32.54,32.54
40.0,47.7,47.7
