Clipping,Median_Filter,Despike
40.0,55.11,55.56
40.0,55.3,54.92
40.0,55.56,54.92
40.0,55.63,55.63
40.0,57.6,57.6
40.0,60.83,60.83
40.0,62.86,62.86
40.0,67.48,67.48
40.0,74.05,74.05
40.0,74.27,77.79
40.0,74.27,76.99
40.0,74.27,75.9
40.0,74.27,74.27
40.0,73.43,73.43
40.0,64.68,64.68
40.0,50.6,50.6
39.67,48.33,39.67
31.96,48.33,31.96
40.0,48.33,42.29
40.0,46.41,48.33
40.0,46.41,48.4
40.0,46.41,48.41
40.0,46.41,46.41
40.0,44.36,44.36
39.15,39.15,39.15
36.7,39.15,36.7
36.01,39.15,36.01
37.9,39.15,37.9
40.0,40.44,40.44
40.0,43.51,43.51
40.0,44.73,44.73
40.0,51.65,52.29
40.0,51.65,57.68
40.0,52.29,55.66
40.0,52.53,51.65
40.0,55.66,48.58
40.0,55.66,52.53
40.0,63.83,63.83
40.0,73.93,73.93
40.0,73.93,82.15
40.0,73.93,79.86
40.0,73.93,75.71
40.0,70.41,70.41
40.0,66.26,59.72
40.0,66.26,61.47
40.0,66.26,65.24
40.0,66.26,66.26
40.0,68.21,68.21
40.0,69.24,69.24
40.0,71.23,71.23
40.0,76.47,76.47
40.0,76.47,83.52
40.0,76.47,82.88
40.0,76.47,76.99
40.0,68.71,68.71
40.0,68.68,66.49
40.0,67.26,66.67
40.0,66.67,68.68
40.0,66.49,67.26
38.21,38.21,38.21
23.03,23.03,23.03
16.09,16.09,16.09
15.38,16.09,15.38
15.34,16.09,15.34
15.83,16.09,15.83
16.39,16.39,16.39
17.2,17.2,17.2
20.17,20.17,20.17
24.31,23.16,24.31
24.49,23.16,24.49
24.54,23.48,24.54
23.16,24.31,23.16
22.98,24.49,22.98
23.48,24.54,23.48
25.9,25.9,25.9
25.9,25.9,25.9
32.16,32.16,32.16
34.86,34.86,34.86
38.53,38.53,38.53
40.0,40.07,40.07
40.0,45.45,45.45
40.0,54.42,54.42
40.0,82.13,82.13
40.0,95.72,95.72
40.0,95.72,100.54
40.0,95.72,101.09
40.0,95.72,97.01
40.0,89.65,89.65
40.0,87.36,87.36
40.0,85.11,84.42
40.0,85.11,83.16
40.0,85.11,82.81
40.0,85.02,85.11
40.0,85.02,86.75
40.0,85.02,87.27
40.0,85.02,85.02
40.0,81.07,79.75
40.0,79.75,78.3
40.0,79.27,81.07
40.0,78.3,79.27
40.0,73.93,73.93
40.0,65.23,65.23
40.0,64.56,61.78
40.0,64.56,62.11
40.0,64.56,62.58
40.0,64.56,64.56
40.0,67.07,67.07
40.0,68.49,68.49
40.0,68.49,74.44
40.0,68.49,78.97
40.0,68.49,80.06
40.0,67.48,67.48
40.0,52.5,52.5
31.71,31.71,31.71
25.1,31.3,25.1
23.57,31.3,23.57
25.17,31.3,25.17
31.3,31.3,31.3
37.3,37.3,37.3
40.0,43.05,43.05
40.0,49.95,49.95
40.0,56.08,56.08
40.0,58.25,58.25
40.0,61.71,61.71
40.0,66.63,66.63
40.0,71.55,71.55
40.0,74.35,78.54
40.0,74.35,82.48
40.0,74.35,77.48
40.0,74.35,74.35
40.0,67.76,67.76
40.0,62.93,62.93
40.0,61.98,58.85
40.0,61.98,57.92
40.0,61.98,61.42
40.0,61.98,61.98
40.0,62.63,62.63
40.0,62.94,62.94
40.0,65.85,65.85
40.0,68.59,68.59
40.0,74.99,74.99
40.0,79.04,79.04
40.0,79.04,79.86
40.0,79.04,79.11
40.0,79.04,79.11
40.0,73.93,73.93
40.0,56.13,56.13
30.61,30.61,30.61
18.45,30.61,18.45
19.36,30.61,19.36
26.23,30.61,26.23
31.45,31.45,31.45
39.85,39.85,39.85
40.0,55.71,55.71
40.0,65.46,65.46
40.0,68.77,68.77
40.0,73.83,73.83
40.0,73.83,76.77
40.0,73.83,77.06
40.0,73.83,75.99
40.0,70.48,70.48
40.0,64.69,64.69
40.0,53.18,53.18
27.76,27.76,27.76
24.0,24.0,24.0
20.94,20.94,20.94
20.62,20.62,20.62
19.31,19.31,19.31
18.91,18.91,18.91
17.04,17.04,17.04
15.6,17.04,15.6
14.28,17.04,14.28
13.53,17.04,13.53
17.33,17.33,17.33
22.0,22.0,22.0
27.28,27.28,27.28
34.55,34.55,34.55
35.39,35.39,35.39
35.46,35.46,35.46
37.16,37.16,37.16
40.0,42.1,42.1
40.0,42.1,59.72
40.0,42.1,83.87
40.0,42.1,61.49
29.36,37.19,29.36
32.62,37.19,32.62
33.41,37.19,33.41
37.19,37.19,37.19
39.56,39.56,39.56
40.0,44.16,44.16
40.0,56.62,56.62
40.0,68.42,68.42
40.0,87.91,87.91
40.0,88.5,90.81
40.0,88.5,88.5
40.0,88.5,92.21
40.0,88.5,89.56
40.0,85.11,78.51
40.0,85.11,78.51
40.0,84.85,80.19
40.0,80.37,85.11
40.0,80.37,86.97
40.0,80.37,84.85
40.0,80.37,80.37
40.0,75.13,74.4
40.0,74.77,74.77
40.0,74.4,75.13
40.0,74.34,74.23
40.0,74.26,73.64
40.0,74.23,74.34
40.0,73.78,74.26
40.0,73.78,73.78
40.0,73.82,73.38
40.0,73.82,72.69
40.0,73.82,73.82
40.0,77.1,77.1
40.0,77.1,78.49
40.0,77.1,78.59
40.0,77.1,78.57
40.0,76.44,76.44
40.0,76.44,74.66
40.0,76.44,74.76
40.0,76.44,75.86
40.0,77.96,77.96
40.0,77.96,78.82
40.0,77.96,79.34
40.0,77.96,79.17
40.0,76.21,76.21
40.0,73.41,73.41
40.0,72.14,70.99
40.0,70.99,72.14
40.0,70.4,70.4
40.0,67.2,67.2
40.0,67.2,67.15
40.0,67.2,66.51
40.0,67.2,66.45
40.0,67.8,67.8
40.0,69.34,69.34
40.0,72.24,72.24
40.0,75.96,75.96
40.0,75.96,79.36
40.0,75.96,81.47
40.0,77.08,78.28
40.0,78.28,75.1
40.0,78.28,75.6
40.0,78.28,77.08
40.0,78.66,78.66
40.0,79.17,79.17
40.0,79.17,79.34
40.0,79.17,80.0
40.0,79.17,79.37
40.0,77.67,77.67
40.0,75.52,75.52
21.76,26.95,21.76
18.63,26.95,18.63
22.29,26.95,22.29
26.95,26.95,26.95
32.25,32.25,32.25
33.61,32.25,33.61
35.08,32.25,35.08
33.38,32.25,33.38
30.61,33.38,30.61
29.09,33.38,29.09
29.88,33.38,29.88
34.23,34.23,34.23
39.19,39.19,39.19
40.0,42.49,43.79
40.0,43.79,51.07
40.0,48.45,49.55
40.0,49.55,42.49
40.0,49.55,48.45
40.0,48.45,54.59
40.0,48.11,56.75
40.0,48.11,48.11
40.0,46.73,41.37
40.0,46.73,40.62
40.0,46.73,43.16
40.0,46.73,46.73
40.0,50.0,51.04
40.0,50.0,54.56
40.0,50.0,53.58
40.0,50.0,50.0
40.0,46.51,46.51
40.0,46.51,41.43
40.0,46.51,40.19
40.0,46.51,42.42
40.0,61.67,61.67
40.0,87.35,87.35
40.0,105.98,105.98
40.0,105.98,130.0
40.0,105.98,165.0
40.0,120.0,120.0
40.0,123.09,105.14
40.0,123.09,100.12
40.0,123.09,123.09
40.0,123.09,165.0
40.0,123.09,172.0
40.0,123.09,145.0
40.0,105.0,105.0
40.0,85.77,85.77
40.0,58.49,58.49
40.0,48.45,47.01
40.0,48.45,44.86
40.0,48.45,45.57
40.0,48.45,48.45
40.0,55.62,55.62
40.0,68.54,68.54
40.0,77.15,77.15
40.0,80.74,81.46
40.0,80.74,80.74
40.0,80.74,83.61
40.0,80.74,84.33
40.0,79.48,79.48
40.0,62.88,62.88
40.0,41.04,41.04
33.99,33.99,33.99
30.81,30.81,30.81
